epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1056.8,0.73342,0.5447,0.869,0.97566,0.99029,0.99472,0.83297,0.78488,0.56053,0.85053,0.00073025,0.00073025,0.00073025
44,1080.55,0.73246,0.54328,0.86956,0.98469,0.99027,0.99472,0.81042,0.72838,0.54991,0.83875,0.000717875,0.000717875,0.000717875
45,1104,0.70555,0.52682,0.87002,0.98118,0.98782,0.99472,0.80964,0.75249,0.56855,0.84307,0.0007055,0.0007055,0.0007055
46,1127.66,0.70329,0.53872,0.87097,0.97972,0.98825,0.995,0.82464,0.72233,0.53415,0.84109,0.000693125,0.000693125,0.000693125
47,1151.31,0.70321,0.5417,0.87361,0.97963,0.99196,0.995,0.83071,0.73552,0.51587,0.85018,0.00068075,0.00068075,0.00068075
48,1175.2,0.68429,0.53075,0.87796,0.98932,1,0.995,0.80106,0.80896,0.53452,0.88834,0.000668375,0.000668375,0.000668375
49,1198.88,0.70899,0.52462,0.87563,0.99181,0.99018,0.995,0.81804,0.77655,0.52842,0.86771,0.000656,0.000656,0.000656
50,1223.03,0.71542,0.52755,0.87026,0.99421,0.98426,0.995,0.82969,0.75293,0.52217,0.86083,0.000643625,0.000643625,0.000643625
51,1247.25,0.68964,0.51295,0.86455,0.98135,0.99103,0.995,0.85301,0.70793,0.50704,0.85694,0.00063125,0.00063125,0.00063125
52,1270.91,0.71591,0.52164,0.86161,0.96228,1,0.995,0.8177,0.75096,0.51501,0.86761,0.000618875,0.000618875,0.000618875
53,1294.64,0.67079,0.50338,0.86477,0.95796,1,0.995,0.83012,0.72259,0.51484,0.85848,0.0006065,0.0006065,0.0006065
54,1318.47,0.66446,0.49006,0.8658,0.96936,0.98816,0.995,0.8118,0.71276,0.51627,0.8469,0.000594125,0.000594125,0.000594125
55,1342.23,0.68774,0.51127,0.874,0.98803,0.98176,0.995,0.79746,0.73945,0.51208,0.84788,0.00058175,0.00058175,0.00058175
56,1366.07,0.70504,0.50794,0.86573,0.98303,0.98888,0.995,0.77495,0.79218,0.5456,0.86048,0.000569375,0.000569375,0.000569375
57,1389.88,0.68888,0.52195,0.86745,0.98456,0.9901,0.995,0.77092,0.7946,0.54681,0.86021,0.000557,0.000557,0.000557
58,1413.62,0.65854,0.50603,0.86432,0.98576,0.96717,0.995,0.82924,0.69938,0.49846,0.84385,0.000544625,0.000544625,0.000544625
59,1437.33,0.65742,0.48839,0.85163,0.9826,0.96751,0.995,0.82699,0.67992,0.49169,0.84188,0.00053225,0.00053225,0.00053225
60,1461.21,0.66183,0.48268,0.85207,0.9755,0.96775,0.995,0.8364,0.70415,0.48351,0.84804,0.000519875,0.000519875,0.000519875
61,1484.85,0.65803,0.47417,0.84417,0.97405,0.9701,0.995,0.82415,0.7187,0.48595,0.84234,0.0005075,0.0005075,0.0005075
62,1508.58,0.65908,0.46851,0.85297,0.96879,0.97536,0.995,0.81958,0.75677,0.51478,0.85056,0.000495125,0.000495125,0.000495125
63,1532.23,0.65149,0.4916,0.86425,0.94962,1,0.995,0.85227,0.67539,0.4612,0.84196,0.00048275,0.00048275,0.00048275
64,1555.99,0.69372,0.48855,0.86162,0.97236,0.99492,0.995,0.82235,0.78503,0.50056,0.85295,0.000470375,0.000470375,0.000470375
65,1579.85,0.69734,0.4946,0.87556,0.97225,0.9973,0.995,0.7989,0.83185,0.5109,0.86718,0.000458,0.000458,0.000458
66,1603.74,0.66912,0.48919,0.87173,0.97365,0.99797,0.995,0.8356,0.67016,0.4641,0.83741,0.000445625,0.000445625,0.000445625
67,1627.34,0.74069,0.50675,0.88138,0.97492,0.99688,0.995,0.83722,0.68991,0.47751,0.84376,0.00043325,0.00043325,0.00043325
68,1650.94,0.63444,0.46974,0.85286,0.98474,0.99292,0.995,0.7807,0.8471,0.50489,0.87221,0.000420875,0.000420875,0.000420875
69,1674.56,0.65845,0.47802,0.87004,0.97939,0.99313,0.995,0.82319,0.68514,0.44837,0.84016,0.0004085,0.0004085,0.0004085
70,1698.42,0.66179,0.47534,0.85455,0.97628,0.99619,0.995,0.8428,0.66965,0.4496,0.84493,0.000396125,0.000396125,0.000396125
71,1722.39,0.61709,0.45824,0.85068,0.97663,0.99768,0.995,0.80663,0.67682,0.45623,0.83918,0.00038375,0.00038375,0.00038375
72,1746.07,0.59973,0.44769,0.8453,0.97152,0.99651,0.995,0.83917,0.67377,0.45358,0.83776,0.000371375,0.000371375,0.000371375
73,1769.73,0.60408,0.43967,0.84507,0.97007,0.99579,0.995,0.85059,0.6535,0.44368,0.83734,0.000359,0.000359,0.000359
74,1793.3,0.61216,0.45115,0.86257,0.9693,0.98992,0.995,0.84158,0.70138,0.44826,0.84448,0.000346625,0.000346625,0.000346625
75,1816.96,0.58864,0.44126,0.84366,0.96201,0.99536,0.995,0.84334,0.71574,0.45297,0.84908,0.00033425,0.00033425,0.00033425
76,1840.93,0.57906,0.43737,0.84308,0.96932,1,0.995,0.85249,0.65546,0.4196,0.83911,0.000321875,0.000321875,0.000321875
77,1864.63,0.57655,0.43522,0.83946,0.97735,1,0.995,0.85779,0.65163,0.41259,0.84347,0.0003095,0.0003095,0.0003095
78,1888.57,0.55834,0.41884,0.83732,0.9815,1,0.995,0.84783,0.66971,0.41896,0.84686,0.000297125,0.000297125,0.000297125
79,1912.34,0.62169,0.44912,0.84896,0.98364,1,0.995,0.85737,0.67609,0.42579,0.84422,0.00028475,0.00028475,0.00028475
80,1936.28,0.6126,0.43676,0.84766,0.98365,1,0.995,0.86263,0.65284,0.41722,0.83796,0.000272375,0.000272375,0.000272375
81,1960.25,0.56568,0.42538,0.83581,0.982,1,0.995,0.85282,0.65032,0.41119,0.83722,0.00026,0.00026,0.00026
82,1984.22,0.57213,0.42783,0.83955,0.98007,1,0.995,0.82968,0.68126,0.42161,0.8378,0.000247625,0.000247625,0.000247625
83,2008,0.58253,0.43629,0.84155,0.9763,0.9956,0.995,0.82171,0.6928,0.42905,0.83731,0.00023525,0.00023525,0.00023525
84,2031.66,0.56261,0.42514,0.82776,0.97451,0.99698,0.995,0.84666,0.64967,0.42943,0.8329,0.000222875,0.000222875,0.000222875
85,2055.19,0.54844,0.41723,0.82952,0.97625,0.99937,0.995,0.85005,0.65409,0.42071,0.8345,0.0002105,0.0002105,0.0002105
86,2079.03,0.57352,0.41688,0.83141,0.97879,1,0.995,0.84349,0.66742,0.41935,0.83564,0.000198125,0.000198125,0.000198125
87,2102.84,0.53871,0.40477,0.82582,0.98047,0.9994,0.995,0.84209,0.67007,0.41446,0.83481,0.00018575,0.00018575,0.00018575
88,2126.69,0.52888,0.39749,0.82703,0.98025,0.99808,0.995,0.85365,0.65934,0.40627,0.83317,0.000173375,0.000173375,0.000173375
89,2150.46,0.54683,0.41367,0.83569,0.9779,0.99723,0.995,0.84704,0.6736,0.4129,0.83488,0.000161,0.000161,0.000161
90,2174.05,0.51604,0.39221,0.82318,0.97622,0.99839,0.995,0.82811,0.66669,0.40889,0.83282,0.000148625,0.000148625,0.000148625
91,2197.98,0.51569,0.40367,0.82109,0.97613,1,0.995,0.84369,0.64211,0.40098,0.83026,0.00013625,0.00013625,0.00013625
92,2221.34,0.49559,0.38805,0.80891,0.97322,1,0.995,0.85049,0.6316,0.40322,0.8301,0.000123875,0.000123875,0.000123875
93,2245.08,0.47084,0.38438,0.81285,0.97052,0.99913,0.995,0.85712,0.6346,0.41251,0.83048,0.0001115,0.0001115,0.0001115
94,2268.73,0.49696,0.39801,0.82448,0.96944,0.99765,0.995,0.85721,0.64431,0.4159,0.83046,9.9125e-05,9.9125e-05,9.9125e-05
95,2292.34,0.48072,0.37894,0.81399,0.97025,0.99666,0.995,0.83443,0.66094,0.41491,0.8312,8.675e-05,8.675e-05,8.675e-05
96,2315.93,0.48293,0.3829,0.82317,0.97244,0.99849,0.995,0.8348,0.68443,0.41485,0.83238,7.4375e-05,7.4375e-05,7.4375e-05
97,2339.29,0.46244,0.36908,0.80086,0.97319,1,0.995,0.83187,0.68156,0.41124,0.83216,6.2e-05,6.2e-05,6.2e-05
98,2362.91,0.50116,0.37665,0.83254,0.9724,1,0.995,0.83039,0.65937,0.40694,0.82969,4.9625e-05,4.9625e-05,4.9625e-05
99,2386.68,0.46664,0.37277,0.80854,0.97261,1,0.995,0.83356,0.6483,0.40575,0.8292,3.725e-05,3.725e-05,3.725e-05
100,2410.49,0.45424,0.36549,0.80011,0.97341,1,0.995,0.84597,0.64484,0.40483,0.82898,2.4875e-05,2.4875e-05,2.4875e-05
