epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,621.593,0.71034,0.59663,0.86387,0.97852,1,0.995,0.75902,0.79662,0.60159,0.86739,0.000834822,0.000834822,0.000834822
44,636.119,0.75146,0.59302,0.85415,0.97289,1,0.995,0.74304,0.81278,0.59141,0.86389,0.000820675,0.000820675,0.000820675
45,650.54,0.76533,0.64189,0.89604,0.96477,1,0.995,0.76197,0.77736,0.59202,0.86043,0.000806528,0.000806528,0.000806528
46,665.035,0.82168,0.61424,0.88582,0.96733,1,0.995,0.74116,0.79494,0.6782,0.87338,0.00079238,0.00079238,0.00079238
47,679.907,0.78067,0.63967,0.90317,0.96826,0.99317,0.995,0.73193,0.85158,0.69673,0.88297,0.000778233,0.000778233,0.000778233
48,694.921,0.8732,0.64637,0.90581,0.97957,0.97985,0.995,0.75249,0.83115,0.63076,0.88118,0.000764086,0.000764086,0.000764086
49,709.952,0.79323,0.61682,0.88118,0.9849,0.97697,0.995,0.75381,0.8133,0.61,0.88607,0.000749939,0.000749939,0.000749939
50,724.562,0.75771,0.61674,0.88661,0.98707,0.99246,0.995,0.74024,0.80646,0.59881,0.88638,0.000735792,0.000735792,0.000735792
51,739.34,0.70727,0.57054,0.86993,0.98567,1,0.995,0.73556,0.8311,0.5888,0.89646,0.000721645,0.000721645,0.000721645
52,753.986,0.74661,0.58817,0.8764,0.98662,0.9996,0.995,0.74347,0.83376,0.56835,0.89515,0.000707498,0.000707498,0.000707498
53,768.597,0.67561,0.56928,0.86777,0.98506,1,0.995,0.76032,0.82486,0.56384,0.89112,0.000693351,0.000693351,0.000693351
54,783.362,0.73262,0.56432,0.87595,0.97613,1,0.995,0.7703,0.74174,0.52642,0.85646,0.000679204,0.000679204,0.000679204
55,798.029,0.68017,0.57654,0.88381,0.97291,0.99946,0.995,0.78101,0.74304,0.54301,0.85687,0.000665057,0.000665057,0.000665057
56,812.563,0.70076,0.55878,0.8622,0.97071,0.99557,0.995,0.762,0.77244,0.56289,0.86103,0.000650909,0.000650909,0.000650909
57,827.124,0.68566,0.56191,0.87656,0.97518,0.99957,0.995,0.75951,0.79364,0.54516,0.86387,0.000636762,0.000636762,0.000636762
58,841.733,0.71984,0.53507,0.86946,0.98132,1,0.995,0.7826,0.73053,0.50822,0.8507,0.000622615,0.000622615,0.000622615
59,856.324,0.74326,0.53748,0.88298,0.98212,1,0.995,0.76525,0.80007,0.53011,0.86336,0.000608468,0.000608468,0.000608468
60,870.675,0.69443,0.57251,0.85513,0.98453,1,0.995,0.78692,0.70445,0.50538,0.84255,0.000594321,0.000594321,0.000594321
61,885.074,0.69054,0.5431,0.87258,0.98326,1,0.995,0.78043,0.75799,0.53124,0.86181,0.000580174,0.000580174,0.000580174
62,899.33,0.82189,0.57088,0.89395,0.97336,1,0.995,0.77384,0.75013,0.55252,0.85823,0.000566027,0.000566027,0.000566027
